Date,Platform,Sentiment,Location,Engagements,Media_Type,Influencer_Brand,Post_Type
2024-04-28,X/Twitter,Positive,Jakarta,6149,Image,@kulinerhits | NubiCha,Promo
2024-04-18,Instagram,Positive,Jakarta,12316,Text,@snackattack | NubiCha,Promo
2024-04-14,TikTok,Neutral,Denpasar,14041,Carousel,@tastebuds.id | NubiCha,Promo
2024-04-19,Instagram,Neutral,Surabaya,8937,Image,@genzfoodie | NubiCha,Behind the Scenes
2024-04-17,YouTube,Positive,Makassar,5254,Carousel,@tastebuds.id | NubiCha,Behind the Scenes
2024-04-20,X/Twitter,Neutral,Yogyakarta,8095,Video,@genzfoodie | NubiCha,Product Launch
2024-04-18,X/Twitter,Positive,Yogyakarta,8700,Video,@kulinerhits | NubiCha,Product Launch
2024-04-30,X/Twitter,Positive,Makassar,15334,Video,@tastebuds.id | NubiCha,Review
2024-04-16,Instagram,Neutral,Jakarta,2785,Video,@snackattack | NubiCha,Review
2024-04-25,X/Twitter,Positive,Bandung,5126,Video,@kulinerhits | NubiCha,Product Launch
2024-04-23,YouTube,Positive,Yogyakarta,3344,Image,@genzfoodie | NubiCha,Review
2024-04-10,YouTube,Negative,Medan,9964,Carousel,@kulinerhits | NubiCha,Review
2024-04-20,Instagram,Negative,Makassar,2915,Image,@drinkculture | NubiCha,Product Launch
2024-04-27,Instagram,Neutral,Medan,6065,Image,@genzfoodie | NubiCha,Collab
2024-04-18,YouTube,Neutral,Yogyakarta,14162,Video,@tastebuds.id | NubiCha,Promo
2024-04-30,YouTube,Negative,Yogyakarta,3576,Text,@tastebuds.id | NubiCha,Behind the Scenes
2024-04-08,X/Twitter,Positive,Jakarta,16170,Image,@genzfoodie | NubiCha,Behind the Scenes
2024-04-13,Instagram,Positive,Bandung,9128,Video,@tastebuds.id | NubiCha,Collab
2024-04-30,YouTube,Positive,Medan,2616,Carousel,@drinkculture | NubiCha,Product Launch
2024-04-25,TikTok,Neutral,Denpasar,2963,Text,@genzfoodie | NubiCha,Collab
2024-04-21,X/Twitter,Positive,Medan,16180,Text,@snackattack | NubiCha,Product Launch
